id,code,cytoplasm,cyto.num
1,KT101,KAS,1
2,KT102,KAS,1
3,KT103,KAS,1
4,KT104,KAS,1
5,KT105,KAS,1
6,KT107,KAS,1
7,KT108,KAS,1
8,KT109,KAS,1
9,KT110,KAS,1
10,KT111,KAS,1
11,KT113,KAS,1
12,KT116,KAS,1
13,KT117,KAS,1
14,KT118,KAS,1
15,KT119,KAS,1
16,KT120,KAS,1
17,KT121,KAS,1
18,KT122,KAS,1
19,KT124,KAS,1
20,KT125,KAS,1
21,KT126,KAS,1
22,KT127,KAS,1
23,KT128,KAS,1
24,KT129,KAS,1
25,KT130,KAS,1
26,KT131,KAS,1
27,KT132,KAS,1
28,KT133,KAS,1
29,KT134,KAS,1
30,KT135,KAS,1
31,KT136,KAS,1
32,KT137,KAS,1
33,KT138,KAS,1
34,KT139,KAS,1
35,KT140,KAS,1
36,KT141,KAS,1
37,KT142,KAS,1
38,KT143,KAS,1
39,KT144,KAS,1
40,KT145,KAS,1
41,KT146,KAS,1
42,KT147,KAS,1
43,KT148,KAS,1
44,KT150,KAS,1
45,KT151,KAS,1
46,KT152,KAS,1
47,KT153,KAS,1
48,KT154,KAS,1
49,KT155,KAS,1
50,KT156,KAS,1
51,KT157,KAS,1
52,KT158,KAS,1
53,KT159,KAS,1
54,KT160,KAS,1
55,KT161,KAS,1
56,KT162,KAS,1
57,KT163,KAS,1
58,KT164,KAS,1
59,KT165,KAS,1
60,KT166,KAS,1
61,KT167,KAS,1
62,KT168,KAS,1
63,KT169,KAS,1
64,KT170,KAS,1
65,KT171,KAS,1
66,KT172,KAS,1
67,KT173,KAS,1
68,KT174,KAS,1
69,KT175,KAS,1
70,KT176,KAS,1
71,KT177,KAS,1
72,KT178,KAS,1
73,KT179,KAS,1
74,KT180,KAS,1
75,KT181,KAS,1
76,KT182,KAS,1
77,KT183,KAS,1
78,KT184,KAS,1
79,KT186,KAS,1
80,KT188,KAS,1
81,KT189,KAS,1
82,KT191,KAS,1
83,KT192,KAS,1
84,KT193,KAS,1
85,KT194,KAS,1
86,KT195,KAS,1
87,KT196,KAS,1
88,KT197,KAS,1
89,KT198,KAS,1
90,KT199,KAS,1
91,KT201,KAS,1
92,KT202,KAS,1
93,KT203,KAS,1
94,KT204,KAS,1
95,KT206,KAS,1
96,KT207,KAS,1
97,KT208,KAS,1
98,KT209,KAS,1
99,KT210,KAS,1
100,KT211,KAS,1
101,KT212,KAS,1
102,KT215,KAS,1
103,KT218,KAS,1
104,KT219,KAS,1
105,KT220,KAS,1
106,KT221,KAS,1
107,KT222,KAS,1
108,KT223,KAS,1
109,KT224,KAS,1
110,KT225,KAS,1
111,KT227,KAS,1
112,KT228,KAS,1
113,KT229,KAS,1
114,KT230,KAS,1
115,KT231,KAS,1
116,KT232,KAS,1
117,KT233,KAS,1
118,KT234,KAS,1
119,KT235,KAS,1
120,KT237,KAS,1
121,KT238,KAS,1
122,KT239,KAS,1
123,KT240,KAS,1
124,KT242,KAS,1
125,KT244,KAS,1
126,KT245,KAS,1
127,KT246,KAS,1
128,KT247,KAS,1
129,KT249,KAS,1
130,KT250,KAS,1
131,KT251,KAS,1
132,KT252,KAS,1
133,KT253,KAS,1
134,KT254,KAS,1
135,KT255,KAS,1
136,KT256,KAS,1
137,KT257,KAS,1
138,KT258,KAS,1
139,KT259,KAS,1
140,KT260,KAS,1
141,KT261,KAS,1
142,KT262,KAS,1
143,KT264,KAS,1
144,KT265,KAS,1
145,KT266,KAS,1
146,TK002,TSU,2
147,TK003,TSU,2
148,TK004,TSU,2
149,TK005,TSU,2
150,TK006,TSU,2
151,TK007,TSU,2
152,TK008,TSU,2
153,TK009,TSU,2
154,TK010,TSU,2
155,TK011,TSU,2
156,TK012,TSU,2
157,TK013,TSU,2
158,TK014,TSU,2
159,TK015,TSU,2
160,TK016,TSU,2
161,TK017,TSU,2
162,TK018,TSU,2
163,TK019,TSU,2
164,TK020,TSU,2
165,TK021,TSU,2
166,TK022,TSU,2
167,TK023,TSU,2
168,TK024,TSU,2
169,TK025,TSU,2
170,TK026,TSU,2
171,TK027,TSU,2
172,TK028,TSU,2
173,TK029,TSU,2
174,TK030,TSU,2
175,TK031,TSU,2
176,TK032,TSU,2
177,TK033,TSU,2
178,TK034,TSU,2
179,TK035,TSU,2
180,TK036,TSU,2
181,TK037,TSU,2
182,TK038,TSU,2
183,TK039,TSU,2
184,TK040,TSU,2
185,TK041,TSU,2
186,TK042,TSU,2
187,TK043,TSU,2
188,TK044,TSU,2
189,TK045,TSU,2
190,TK046,TSU,2
191,TK047,TSU,2
192,TK048,TSU,2
193,TK050,TSU,2
194,TK052,TSU,2
195,TK053,TSU,2
196,TK054,TSU,2
197,TK055,TSU,2
198,TK056,TSU,2
199,TK057,TSU,2
200,TK058,TSU,2
201,TK059,TSU,2
202,TK060,TSU,2
203,TK061,TSU,2
204,TK062,TSU,2
205,TK063,TSU,2
206,TK064,TSU,2
207,TK065,TSU,2
208,TK066,TSU,2
209,TK068,TSU,2
210,TK069,TSU,2
211,TK070,TSU,2
212,TK071,TSU,2
213,TK072,TSU,2
214,TK073,TSU,2
215,TK075,TSU,2
216,TK076,TSU,2
217,TK077,TSU,2
218,TK078,TSU,2
219,TK079,TSU,2
220,TK080,TSU,2
221,TK081,TSU,2
222,TK082,TSU,2
