Marker,Chr,Col Phys Pos,Gen. Pos (LargeMap)
1_18040860,1,18040860,63.274
1_2211035,1,2211035,5.145
1_26278413,1,26278413,92.366
1_2696684,1,2696684,6.137
1_27650244,1,27650244,102.632
1_30116495,1,30116495,107.158
1_3941506,1,3941506,5.879
1_5923549,1,5923549,15.093
1-112445,1,112445,0
1-11655171,1,11655171,38.827
1-16874305,1,16874305,52.618
1-17355484,1,17355484,54.636
1-25717715,1,25717715,89.565
1-26278221,1,26278221,90.785
1-2844111,1,2844111,7.247
1-28666569,1,28666569,104.935
1-4142402,1,4142402,10.101
1-4395913,1,4395913,10.461
1-5206479,1,5206479,12.195
1-5628596,1,5628596,12.537
1-8014943,1,8014943,26.469
1-9343234,1,9343234,29.283
1-9496666,1,9496666,30.185
1-9781260,1,9781260,30.457
1-992824,1,992824,1.41
F21M12,1,3212191,6.311
F5I14,1,24374008,79.469
NGA128,1,20633251,64.768
NGA392,1,9831766,32.079
NGA692,1,28841446,103.869
T1G11,1,1243352,3.759
T27K12,1,15926702,59.351
2_13148965,2,13148965,63.569
2_14801461,2,14801461,65.681
2_16908453,2,16908453,75.574
2_17844202,2,17844202,78.885
2_18253446,2,18253446,77.146
2_18701082,2,18701082,78.165
2_311554,2,311554,1.754
2_4354761,2,4354761,20.3
2_518639,2,518639,5.387
2_9256494,2,9256494,45.681
2_948610,2,948610,11.906
2-12656716,2,12656716,57.167
2-13265029,2,13265029,59.358
2-14003272,2,14003272,64.731
2-15986145,2,15986145,68.397
2-1798324,2,1798324,16.571
2-18752604,2,18752604,82.569
2-6499196,2,6499196,22.239
2.Frag50,2,18000000,76.171
2.T1024,2,18019881,76.005
3_166828,3,166828,0
3_17166363,3,17166363,63.877
3_19077246,3,19077246,72.267
3_19930733,3,19930733,81.436
3_21728447,3,21728447,82.08
3_22146587,3,22146587,83.338
3_620734,3,620734,1.534
3_7307956,3,7307956,25.715
3-19930188,3,19930188,84.401
3-2072648,3,2072648,8.226
3-21632379,3,21632379,86.456
3-2231413,3,2231413,8.007
3-7391896,3,7391896,26.93
3-9747158,3,9747158,40.691
F1P2-TGF,3,17541237,67.715
3.GAPABX,3,9796459,42.345
3.nga162,3,4608277,2.564
NGA172,3,786303,4.224
4_10482089,4,10482089,50.845
4_12900428,4,12900428,58.452
4_14385343,4,14385343,63.079
4_15087654,4,15087654,65.011
4_208623,4,208623,1.449
4_2126308,4,2126308,21.588
4_4804292,4,4804292,23.919
4_7448542,4,7448542,36.482
4-11325921,4,11325921,52.728
4-11579700,4,11579700,53.32
4-11984495,4,11984495,54.485
4-12403706,4,12403706,55.091
4-17608717,4,17608717,79.179
4-17803605,4,17803605,78.131
4-7077771,4,7077771,39.541
4-8078388,4,8078388,46.503
4-8297594,4,8297594,46.034
DET1,4,6346349,32.521
4.F6N15,4,89505,0
4.FRI,4,269026,2.784
ICE7,4,6946956,35.194
5_16368524,5,16368524,46.884
5_16964745,5,16964745,49.356
5_2192806,5,2192806,8.678
5_25301310,5,25301310,79.502
5_26121185,5,26121185,83.536
5_2799359,5,2799359,10.089
5_4223381,5,4223381,14.973
5_43840,5,43840,0
5_4721336,5,4721336,15.186
5_476540,5,476540,3.409
5_5318959,5,5318959,15.69
5-1213621,5,1213621,1.753
5-17629093,5,17629093,54.051
5-20408706,5,20408706,60.532
5-20915132,5,20915132,60.058
5-22414510,5,22414510,68.292
5-26120843,5,26120843,87.089
5-625179,5,625179,1.316
5-7278798,5,7278798,21.354
5-7842900,5,7842900,26.553
5-872097,5,872097,2.508
ICE5,5,7705251,23.331
5.MBK5,5,25494981,79.763
5.MUK11D,5,1409472,6.149
5.nga106,5,5397351,15.822
